T,<M>,<|M|>,<E>,<M2>,chi,C,accept_pct
1.0000,0.236600,0.236600,-1.887253,0.065851,161.7403,17.5265,3.48
1.5000,0.245153,0.245153,-1.825634,0.067570,81.5861,11.4311,5.92
2.0000,-0.027977,0.053668,-1.604754,0.003686,6.5978,8.3652,13.72
2.1000,0.045051,0.045160,-1.499292,0.002452,3.2176,6.2800,17.38
2.2000,-0.082563,0.087252,-1.404868,0.009531,14.2885,3.8609,20.97
2.2500,-0.084764,0.084766,-1.351152,0.009616,17.7008,2.3872,22.90
2.2690,0.248288,0.248288,-1.334930,0.064623,21.4908,3.6160,23.58
2.3000,0.062661,0.063512,-1.309789,0.005245,8.6286,2.7968,24.62
2.4000,0.010988,0.031764,-1.197955,0.001773,5.2173,1.0401,28.92
2.5000,0.000880,0.044815,-1.108327,0.003285,8.3632,1.2609,32.61
3.0000,-0.007262,0.023952,-0.814856,0.000828,1.3869,0.3718,46.28
3.5000,-0.001692,0.018946,-0.661972,0.000522,0.7613,0.2184,54.78
4.0000,0.002710,0.012757,-0.557270,0.000247,0.3433,0.1904,60.97
