T,<M>,<|M|>,<E>,<M2>,chi,C,flip_pct
1.0000,-0.321985,0.999274,-1.997153,0.998548,0.0014,0.0225,99.16
1.5000,0.024153,0.986466,-1.951055,0.973118,0.0271,0.1952,96.24
2.0000,0.026614,0.911081,-1.745301,0.830121,0.4226,0.7577,80.75
2.1000,0.007200,0.868382,-1.661682,0.754214,0.9937,0.9675,71.68
2.2000,0.000927,0.786335,-1.546995,0.619017,5.1704,1.4418,57.10
2.2500,0.005428,0.671586,-1.461855,0.456364,38.8615,2.0400,41.24
2.2690,-0.000159,0.545854,-1.416641,0.321927,173.0847,4.7879,28.84
2.3000,-0.009453,0.262499,-1.333931,0.096645,197.5987,11.1162,8.55
2.4000,0.002684,0.074914,-1.175249,0.009164,24.2443,23.6633,0.83
2.5000,0.004588,0.050296,-1.068905,0.003935,9.2130,35.5405,0.34
3.0000,-0.007792,0.020987,-0.743804,0.000672,1.2647,30.4589,0.06
3.5000,0.001460,0.010820,-0.563570,0.000183,0.3099,12.2314,0.03
4.0000,0.012827,0.014606,-0.481945,0.000333,0.4884,7.1275,0.02
